"module name","licenses","repository","licenseUrl","parents"
"@types/lodash@4.14.181","MIT","https://github.com/DefinitelyTyped/DefinitelyTyped","https://github.com/DefinitelyTyped/DefinitelyTyped/raw/master/LICENSE","cursorless"
"ansicolor@1.1.100","Unlicense","https://github.com/xpl/ansicolor","https://github.com/xpl/ansicolor/raw/master/LICENSE","metals"
"brace-expansion@2.0.1","MIT","https://github.com/juliangruber/brace-expansion","https://github.com/juliangruber/brace-expansion/raw/master/LICENSE","vscode-fileutils"
"immutability-helper@3.1.1","MIT","https://github.com/kolodny/immutability-helper","https://github.com/kolodny/immutability-helper/raw/master/LICENSE","cursorless"
"jsonc-parser@2.3.1","MIT","https://github.com/microsoft/node-jsonc-parser","https://github.com/microsoft/node-jsonc-parser/raw/master/LICENSE.md","parse-tree"
"lodash@4.17.21","MIT","https://github.com/lodash/lodash","https://github.com/lodash/lodash/raw/master/LICENSE","cursorless"
"metals-languageclient@0.5.15","Apache-2.0","https://github.com/scalameta/metals-languageclient","https://github.com/scalameta/metals-languageclient/raw/master/LICENSE","metals"
"promisify-child-process@4.1.1","MIT","https://github.com/jcoreio/promisify-child-process","https://github.com/jcoreio/promisify-child-process/raw/master/LICENSE.md","metals"
"tar@6.1.11","ISC","https://github.com/npm/node-tar","https://github.com/npm/node-tar/raw/master/LICENSE","parse-tree"
"vscode-languageclient@7.0.0","MIT","https://github.com/Microsoft/vscode-languageserver-node","https://github.com/Microsoft/vscode-languageserver-node/raw/master/License.txt","metals"
